Id,Language,Include Regex,Test Framework ,
109,m,"#import +[<|""][\w\.]*Kiwi.h [\.[\w]*]*",Kiwi,
110,m,"#import +[<|""][\w\.]*Quick.h [\.[\w]*]*",Quick,
111,m,"#import +[<|""][\w\.]*SenTestingKit [\.[\w]*]*",OCUnit,
112,m,"#import +[<|""][\w\.]*TestCase.h",WiteBox for iPhone,
113,m,"#import +[<|""][\w\.]*XCAbstractTest.h",XCTest,
119,clj,:use clojure\.test,clojure.test (built-in),
120,clj,:use midje\.sweet,Midje,
121,clj,:require '\[speclj\.core,Speclj,
122,go,import +[\w\.]testing [\.[\w]*]*,Go Testing (built-in),
123,go,[\w\.]*github.com/stretchr/testify [\.[\w]*]*,Testify,
124,go,[\w\.]*github.com/smartystreets/goconvey/convey [\.[\w]*]*,GoConvey,
125,hs,import +Test\.HUnit,HUnit,
126,hs,import +Test\.HUnitPlus,HUnit-Plus,
127,hs,import +Test\.QuickCheck,QuickCheck,
128,hs,import +Test\.SmallCheck,SmallCheck,
129,hs,import +Test\.Hspec,Hspec,
130,hs,import +Test\.Chuchu,chuchu,
131,hs,import +Test\.Bdd,bdd,
132,java,import +[\w\.]*arquillian,Arquillian,[\w\.]*
133,java,import +[\w\.]*beanspec,beanSpec,
134,java,import +[\w\.]*beantest,BeanTest,
135,java,import +[\w\.]*Cactus,Cactus,
136,java,import +[\w\.]*concordion,Concordion,
137,java,import +[\w\.]*cunit,Concutest,
138,java,import +[\w\.]*cucumber,Cucumber-JVM,
139,java,import +[\w\.]*dbunit,DbUnit,
140,java,import +[\w\.]*easymock,EasyMock,
141,java,import +[\w\.]*GrandTestAuto,GrandTestAuto,
142,java,import +[\w\.]*groboutils,GroboUtils,
143,java,import +[\w\.]*havarunner,HavaRunner,
144,java,import +[\w\.]*instinct,Instinct,
145,java,import +[\w\.]*jsst,Java Server-Side Testing framework (JSST),
146,java,import +[\w\.]*jbehave,JBehave,
147,java,import +[\w\.]*jdave,JDave,
148,java,import +[\w\.]*jexample,JExample,
149,java,import +[\w\.]*jgiven,JGiven,
150,java,import +[\w\.]*jmock,JMock,
151,java,import +[\w\.]*jmockit,JMockit,
